index,DM,DO,DS,NA,OL,OT,PB,PE,PF,PH,PI,PP,RM,SH
2004-22,0,0,0,0,0,0,7,0,0,0,0,1,0,0
2005-11,2,0,0,0,0,1,2,0,0,0,1,4,0,0
2005-14,3,1,0,0,0,1,1,0,0,0,1,8,0,0
2005-2,1,0,0,0,0,0,6,1,0,0,0,6,0,0
2005-22,0,0,0,0,0,0,5,0,0,0,2,0,0,0
2006-11,3,0,0,0,0,0,1,0,0,0,0,9,0,0
2006-14,3,1,0,0,0,0,1,0,0,0,0,5,0,0
2006-2,0,1,0,0,0,0,5,0,0,0,0,9,0,0
2006-22,1,0,0,0,0,0,7,0,0,0,0,3,0,0
2007-11,7,0,0,0,0,0,9,0,1,0,0,9,0,0
2007-14,7,2,0,0,0,1,7,0,0,0,0,9,0,0
2007-2,2,1,0,0,0,2,11,2,1,0,0,6,0,0
2007-22,1,0,0,0,1,1,10,0,0,0,0,2,0,1
2008-11,5,1,0,0,0,0,0,0,1,0,0,1,0,0
2008-14,7,2,0,1,0,0,0,0,0,0,0,0,0,0
2008-2,1,0,0,0,0,0,3,0,0,0,0,2,0,0
2008-22,1,0,1,0,0,0,3,0,1,0,0,0,0,0
2009-11,3,0,0,0,0,1,1,0,0,0,0,2,0,0
2009-14,4,1,0,0,0,0,0,0,0,0,0,3,0,0
2009-2,0,1,0,1,0,0,2,0,0,0,0,2,0,0
2009-22,2,0,1,0,0,0,5,0,0,0,0,0,0,0
